tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,32856,6859,9384024,147172,2017-08-01 16:23:56
892177421306343426,28380,5169,9384024,147172,2017-08-01 00:17:27
891815181378084864,21329,3410,9384024,147172,2017-07-31 00:18:03
891689557279858688,35814,7072,9384024,147172,2017-07-30 15:58:51
891327558926688256,34244,7576,9384024,147172,2017-07-29 16:00:24
891087950875897856,17232,2544,9384024,147172,2017-07-29 00:08:17
890971913173991426,10051,1616,9384024,147172,2017-07-28 16:27:12
890729181411237888,55241,15414,9384024,147172,2017-07-28 00:22:40
890609185150312448,23775,3550,9384024,147172,2017-07-27 16:25:51
890240255349198849,27103,5969,9384024,147172,2017-07-26 15:59:51
890006608113172480,26236,6013,9384024,147172,2017-07-26 00:31:25
889880896479866881,23792,4061,9384024,147172,2017-07-25 16:11:53
889665388333682689,40830,8177,9384024,147172,2017-07-25 01:55:32
889638837579907072,22986,3641,9384024,147172,2017-07-25 00:10:02
889531135344209921,12956,1850,9384024,147172,2017-07-24 17:02:04
889278841981685760,21402,4349,9384024,147172,2017-07-24 00:19:32
888917238123831296,24857,3680,9384024,147172,2017-07-23 00:22:39
888804989199671297,21784,3453,9384024,147172,2017-07-22 16:56:37
888554962724278272,16821,2833,9384024,147172,2017-07-22 00:23:06
888078434458587136,18538,2836,9384024,147172,2017-07-20 16:49:33
887705289381826560,25781,4428,9384024,147172,2017-07-19 16:06:48
887517139158093824,39437,9613,9384024,147172,2017-07-19 03:39:09
887473957103951883,58512,14717,9384024,147172,2017-07-19 00:47:34
887343217045368832,28690,8582,9384024,147172,2017-07-18 16:08:03
887101392804085760,26120,4877,9384024,147172,2017-07-18 00:07:08
886983233522544640,29499,6173,9384024,147172,2017-07-17 16:17:36
886736880519319552,10203,2569,9384024,147172,2017-07-16 23:58:41
886680336477933568,19132,3661,9384024,147172,2017-07-16 20:14:00
886366144734445568,17986,2563,9384024,147172,2017-07-15 23:25:31
886267009285017600,101,4,9384024,147172,2017-07-15 16:51:35
886258384151887873,23811,5157,9384024,147172,2017-07-15 16:17:19
886054160059072513,0,90,9384024,147172,2017-07-15 02:45:48
885984800019947520,27797,5495,9384024,147172,2017-07-14 22:10:11
885528943205470208,30650,5218,9384024,147172,2017-07-13 15:58:47
885518971528720385,17372,3045,9384024,147172,2017-07-13 15:19:09
885311592912609280,0,15116,9384024,147172,2017-07-13 01:35:06
885167619883638784,18663,3596,9384024,147172,2017-07-12 16:03:00
884925521741709313,65412,14667,9384024,147172,2017-07-12 00:01:00
884876753390489601,23648,4565,9384024,147172,2017-07-11 20:47:12
884562892145688576,20669,3811,9384024,147172,2017-07-11 00:00:02
884441805382717440,23102,4704,9384024,147172,2017-07-10 15:58:53
884247878851493888,61763,16581,9384024,147172,2017-07-10 03:08:17
884162670584377345,17385,2449,9384024,147172,2017-07-09 21:29:42
883838122936631299,18547,2796,9384024,147172,2017-07-09 00:00:04
883482846933004288,38961,8085,9384024,147172,2017-07-08 00:28:19
883360690899218434,19335,3012,9384024,147172,2017-07-07 16:22:55
883117836046086144,31569,5424,9384024,147172,2017-07-07 00:17:54
882992080364220416,20382,3179,9384024,147172,2017-07-06 15:58:11
882762694511734784,24081,4020,9384024,147172,2017-07-06 00:46:41
882627270321602560,23849,4956,9384024,147172,2017-07-05 15:48:34
882268110199369728,38143,9384,9384024,147172,2017-07-04 16:01:23
882045870035918850,24936,3989,9384024,147172,2017-07-04 01:18:17
881906580714921986,20782,2786,9384024,147172,2017-07-03 16:04:48
881666595344535552,43195,8739,9384024,147172,2017-07-03 00:11:11
881633300179243008,112,8,9384024,147172,2017-07-02 21:58:53
881536004380872706,42146,13105,9384024,147172,2017-07-02 15:32:16
881268444196462592,19803,4369,9384024,147172,2017-07-01 21:49:04
880935762899988482,14545,2278,9384024,147172,2017-06-30 23:47:07
880872448815771648,18158,3146,9384024,147172,2017-06-30 19:35:32
880465832366813184,24316,5108,9384024,147172,2017-06-29 16:39:47
880221127280381952,22951,3395,9384024,147172,2017-06-29 00:27:25
880095782870896641,23551,3569,9384024,147172,2017-06-28 16:09:20
879862464715927552,19108,2864,9384024,147172,2017-06-28 00:42:13
879674319642796034,281,9,9384024,147172,2017-06-27 12:14:36
879492040517615616,20058,2574,9384024,147172,2017-06-27 00:10:17
879415818425184262,90299,36620,9384024,147172,2017-06-26 19:07:24
879376492567855104,14427,2604,9384024,147172,2017-06-26 16:31:08
879130579576475649,0,5603,9384024,147172,2017-06-26 00:13:58
